,Gene,RNA tissue category,RNA TS TPM
3719,KCNH4,Tissue enhanced,cerebral cortex: 1.8
3720,KCNH5,Tissue enhanced,adrenal gland: 1.4;cerebral cortex: 3.6
3721,KCNH6,Tissue enhanced,kidney: 6.1;prostate: 5.4;small intestine: 5.5
3722,KCNH7,Tissue enriched,cerebral cortex: 4.7
3723,KCNH8,Tissue enhanced,cerebral cortex: 4.8
3724,KCNIP1,Tissue enhanced,cerebral cortex: 40.4;epididymis: 26.3
3725,KCNIP2,Group enriched,adipose tissue: 238.6;cerebral cortex: 81.4;heart muscle: 108.2
3726,KCNIP3,Tissue enhanced,cerebral cortex: 40.6;parathyroid gland: 44.0
3727,KCNIP4,Tissue enhanced,cerebral cortex: 57.3
3728,KCNJ1,Tissue enriched,kidney: 210.8
3729,KCNJ10,Group enriched,cerebral cortex: 124.7;kidney: 30.6
3730,KCNJ11,Tissue enhanced,skeletal muscle: 32.7
3731,KCNJ12,Group enriched,parathyroid gland: 19.2;skeletal muscle: 23.1
3732,KCNJ13,Group enriched,parathyroid gland: 25.8;small intestine: 112.2
3733,KCNJ15,Tissue enhanced,kidney: 261.3;thyroid gland: 216.3
3734,KCNJ16,Group enriched,kidney: 209.1;parathyroid gland: 269.7;thyroid gland: 235.1
3735,KCNJ18,Group enriched,skin: 3.8;tonsil: 1.3
3736,KCNJ2,Tissue enhanced,parathyroid gland: 44.6
3737,KCNJ3,Tissue enhanced,cerebral cortex: 25.4;parathyroid gland: 39.8
3738,KCNJ4,Group enriched,cerebral cortex: 40.9;heart muscle: 11.4
3739,KCNJ5,Tissue enhanced,adrenal gland: 84.8
3740,KCNJ6,Tissue enriched,cerebral cortex: 2.6
3741,KCNJ9,Tissue enriched,cerebral cortex: 52.3
3742,KCNK10,Tissue enhanced,cerebral cortex: 5.6;duodenum: 5.1
3743,KCNK12,Tissue enriched,cerebral cortex: 5.3
3744,KCNK13,Tissue enhanced,parathyroid gland: 14.6;testis: 14.4
3745,KCNK15,Tissue enhanced,fallopian tube: 8.0
3746,KCNK16,Tissue enhanced,duodenum: 3.8;pancreas: 5.4;stomach: 12.4
3747,KCNK17,Tissue enhanced,lung: 5.6
3748,KCNK2,Tissue enhanced,adrenal gland: 75.2
3749,KCNK3,Tissue enhanced,adrenal gland: 111.8;placenta: 35.8
3750,KCNK4,Tissue enriched,cerebral cortex: 4.3
3751,KCNK5,Tissue enhanced,small intestine: 39.3
3752,KCNK7,Tissue enriched,skin: 53.2
3753,KCNK9,Group enriched,adrenal gland: 4.7;cerebral cortex: 4.8
3754,KCNMA1,Tissue enhanced,smooth muscle: 137.0
3755,KCNMB1,Tissue enhanced,seminal vesicle: 64.2;smooth muscle: 69.7
3756,KCNMB2,Tissue enhanced,epididymis: 43.1;fallopian tube: 22.3;ovary: 19.0
3757,KCNMB4,Group enriched,adrenal gland: 19.5;cerebral cortex: 38.1
3758,KCNN1,Tissue enriched,cerebral cortex: 21.4
3759,KCNN2,Tissue enhanced,adrenal gland: 27.3
3760,KCNN3,Tissue enhanced,cerebral cortex: 25.4
3761,KCNN4,Tissue enhanced,salivary gland: 73.7
3762,KCNQ1,Tissue enhanced,adrenal gland: 133.6;thyroid gland: 102.7
3763,KCNQ2,Tissue enriched,cerebral cortex: 57.2
3764,KCNQ3,Tissue enriched,cerebral cortex: 26.7
3765,KCNQ5,Tissue enhanced,cerebral cortex: 22.3
3766,KCNRG,Tissue enriched,fallopian tube: 52.2
3767,KCNS1,Tissue enhanced,cerebral cortex: 9.3;gallbladder: 3.8;seminal vesicle: 4.2
3768,KCNS2,Tissue enhanced,cerebral cortex: 7.2
3769,KCNS3,Tissue enhanced,lung: 35.5
3770,KCNT1,Group enriched,cerebral cortex: 11.6;ovary: 3.9;skeletal muscle: 3.8;spleen: 6.8
3771,KCNT2,Tissue enhanced,ovary: 6.0
3772,KCNU1,Tissue enriched,testis: 13.5
3773,KCNV1,Tissue enriched,cerebral cortex: 21.8
3774,KCNV2,Tissue enriched,testis: 6.6
3775,KCP,Tissue enhanced,kidney: 2.7;seminal vesicle: 3.3
3776,KCTD16,Group enriched,cerebral cortex: 12.3;testis: 3.0
3777,KCTD17,Tissue enhanced,cerebral cortex: 55.9
3778,KCTD19,Tissue enriched,testis: 39.2
3779,KCTD2,Tissue enhanced,adipose tissue: 3.4;cerebral cortex: 7.3
3780,KCTD4,Group enriched,cerebral cortex: 17.7;skin: 3.7
3781,KCTD8,Tissue enhanced,cerebral cortex: 11.5;thyroid gland: 5.2
3782,KDM4D,Tissue enriched,testis: 60.7
3783,KDM5B,Tissue enriched,testis: 228.1
3784,KDM8,Tissue enhanced,liver: 24.2
3785,KDR,Tissue enhanced,placenta: 119.2
3786,KEL,Tissue enhanced,bone marrow: 14.5;testis: 19.5
3787,KERA,Tissue enhanced,gallbladder: 1.5
3788,KHDC1,Tissue enhanced,cerebral cortex: 9.9
3789,KHDC1L,Tissue enhanced,testis: 4.6
3790,KHDC3L,Tissue enhanced,lung: 1.0;testis: 2.2
3791,KHDRBS2,Tissue enhanced,cerebral cortex: 6.6;lung: 5.6;thyroid gland: 11.0
3792,KHDRBS3,Group enriched,cerebral cortex: 89.1;testis: 285.9
3793,KHK,Group enriched,duodenum: 113.1;kidney: 111.2;liver: 97.3;small intestine: 133.2
3794,KIAA0319,Tissue enriched,cerebral cortex: 15.8
3795,KIAA0408,Tissue enhanced,cerebral cortex: 43.8
3796,KIAA0513,Tissue enriched,cerebral cortex: 102.6
3797,KIAA0556,Tissue enhanced,fallopian tube: 47.6
3798,KIAA0895,Tissue enhanced,testis: 44.5
3799,KIAA1024,Tissue enriched,adrenal gland: 14.0
3800,KIAA1024L,Tissue enriched,skeletal muscle: 11.5
3801,KIAA1107,Group enriched,cerebral cortex: 45.9;testis: 10.7
3802,KIAA1210,Group enriched,epididymis: 47.9;seminal vesicle: 27.4;testis: 58.3
3803,KIAA1211,Tissue enhanced,testis: 39.9
3804,KIAA1211L,Tissue enhanced,cerebral cortex: 36.7;epididymis: 38.2
3805,KIAA1257,Tissue enriched,testis: 34.5
3806,KIAA1324L,Tissue enhanced,lung: 32.2
3807,KIAA1456,Tissue enhanced,thyroid gland: 31.4
3808,KIAA1549L,Group enriched,cerebral cortex: 34.9;parathyroid gland: 146.2
3809,KIAA1644,Tissue enhanced,cerebral cortex: 27.6;endometrium: 42.8;smooth muscle: 44.6
3810,KIAA1683,Tissue enriched,testis: 34.3
3811,KIAA2012,Tissue enriched,fallopian tube: 14.7
3812,KIAA2022,Tissue enhanced,cerebral cortex: 5.4;parathyroid gland: 5.3
3813,KIF12,Tissue enhanced,gallbladder: 36.6;kidney: 46.9
3814,KIF13B,Tissue enriched,parathyroid gland: 208.8
3815,KIF15,Tissue enhanced,testis: 14.2
3816,KIF17,Tissue enriched,testis: 23.7
3817,KIF18A,Tissue enhanced,testis: 23.4
3818,KIF18B,Tissue enhanced,bone marrow: 8.4
3819,KIF19,Tissue enhanced,fallopian tube: 19.0;spleen: 6.6
3820,KIF1A,Tissue enriched,cerebral cortex: 308.3
3821,KIF20A,Tissue enhanced,testis: 20.2
3822,KIF21A,Tissue enhanced,cerebral cortex: 75.0
3823,KIF21B,Tissue enhanced,cerebral cortex: 28.8
3824,KIF24,Tissue enhanced,testis: 20.2
3825,KIF25,Tissue enriched,adipose tissue: 8.7
3826,KIF27,Tissue enhanced,testis: 46.6
3827,KIF2B,Tissue enriched,testis: 132.9
3828,KIF2C,Tissue enriched,testis: 135.0
3829,KIF3A,Tissue enhanced,cerebral cortex: 82.8
3830,KIF3C,Tissue enriched,cerebral cortex: 129.6
3831,KIF4B,Tissue enriched,testis: 6.3
3832,KIF5A,Tissue enriched,cerebral cortex: 325.7
3833,KIF5C,Tissue enhanced,cerebral cortex: 205.3
3834,KIF6,Group enriched,cerebral cortex: 7.0;fallopian tube: 6.0;testis: 9.6
3835,KIFC1,Tissue enhanced,lymph node: 3.2
3836,KIRREL2,Tissue enriched,pancreas: 11.6
3837,KIRREL3,Tissue enriched,cerebral cortex: 20.4
3838,KISS1,Tissue enriched,placenta: 328.1
3839,KISS1R,Tissue enriched,cerebral cortex: 1.2
3840,KIT,Tissue enhanced,breast: 133.6
3841,KL,Group enriched,kidney: 136.6;parathyroid gland: 346.4
3842,KLB,Tissue enhanced,adipose tissue: 20.6;liver: 9.1
3843,KLC3,Tissue enriched,skin: 63.9
3844,KLF1,Tissue enriched,bone marrow: 25.7
3845,KLF14,Tissue enhanced,placenta: 1.2
3846,KLF15,Tissue enhanced,ovary: 42.8
3847,KLF17,Tissue enhanced,testis: 8.1
3848,KLF5,Tissue enhanced,skin: 279.6
3849,KLF8,Tissue enhanced,skin: 33.8
3850,KLHDC7A,Tissue enhanced,kidney: 20.8
3851,KLHDC7B,Tissue enhanced,parathyroid gland: 12.7
3852,KLHDC8A,Tissue enriched,ovary: 288.4
3853,KLHDC9,Tissue enhanced,testis: 9.5
3854,KLHL1,Tissue enhanced,cerebral cortex: 1.9
3855,KLHL10,Tissue enriched,testis: 90.0
3856,KLHL11,Tissue enhanced,testis: 22.4
3857,KLHL13,Tissue enhanced,endometrium: 52.6
3858,KLHL14,Tissue enhanced,parathyroid gland: 19.3;seminal vesicle: 17.9;thyroid gland: 23.0
3859,KLHL2,Tissue enhanced,cerebral cortex: 77.5
3860,KLHL25,Tissue enhanced,cerebral cortex: 15.8
3861,KLHL30,Tissue enhanced,skeletal muscle: 22.1
3862,KLHL31,Tissue enhanced,heart muscle: 29.4;skeletal muscle: 51.2
3863,KLHL32,Group enriched,cerebral cortex: 25.3;fallopian tube: 10.3
3864,KLHL33,Tissue enriched,skeletal muscle: 30.9
3865,KLHL34,Tissue enriched,skeletal muscle: 8.8
3866,KLHL35,Tissue enhanced,cerebral cortex: 3.6;testis: 6.2
3867,KLHL38,Group enriched,heart muscle: 35.8;skeletal muscle: 91.2
3868,KLHL4,Tissue enhanced,adrenal gland: 37.2
3869,KLHL40,Tissue enriched,skeletal muscle: 61.0
3870,KLHL41,Tissue enriched,skeletal muscle: 1750.6
3871,KLHL6,Tissue enhanced,lymph node: 35.1;tonsil: 28.7
3872,KLK1,Group enriched,pancreas: 1994.7;salivary gland: 2549.9
3873,KLK10,Tissue enhanced,esophagus: 138.2;skin: 52.7
3874,KLK11,Tissue enhanced,esophagus: 225.7;skin: 214.5
3875,KLK12,Tissue enhanced,esophagus: 32.4
3876,KLK13,Tissue enriched,esophagus: 402.2
3877,KLK14,Tissue enriched,skin: 10.4
3878,KLK15,Tissue enhanced,colon: 3.2;salivary gland: 2.4
3879,KLK2,Tissue enriched,prostate: 867.2
3880,KLK3,Tissue enriched,prostate: 12913.0
3881,KLK4,Tissue enriched,prostate: 406.5
3882,KLK5,Tissue enriched,skin: 213.5
3883,KLK6,Group enriched,cerebral cortex: 78.6;esophagus: 63.0;fallopian tube: 44.9;tonsil: 31.3
3884,KLK7,Group enriched,esophagus: 68.7;skin: 219.6
3885,KLK8,Group enriched,esophagus: 77.9;fallopian tube: 20.9;skin: 96.8
3886,KLKB1,Tissue enriched,liver: 155.0
3887,KLRC2,Group enriched,cerebral cortex: 17.3;spleen: 8.1
3888,KLRC3,Tissue enhanced,cerebral cortex: 9.2;spleen: 6.2
3889,KLRC4,Tissue enhanced,spleen: 13.1
3890,KLRD1,Tissue enhanced,spleen: 18.8
3891,KLRF1,Tissue enhanced,spleen: 24.9
3892,KLRF2,Tissue enriched,skin: 14.1
3893,KLRG1,Tissue enhanced,spleen: 15.8
3894,KLRG2,Tissue enhanced,lung: 4.4;parathyroid gland: 5.7;thyroid gland: 6.8
3895,KLRK1,Tissue enhanced,lymph node: 35.1;spleen: 52.8
3896,KMO,Tissue enhanced,kidney: 32.3;liver: 47.7
3897,KNDC1,Tissue enhanced,cerebral cortex: 19.4;fallopian tube: 10.4
3898,KNG1,Group enriched,kidney: 522.4;liver: 1864.6
3899,KNL1,Tissue enriched,testis: 31.7
3900,KNSTRN,Tissue enhanced,testis: 113.9
3901,KNTC1,Tissue enhanced,testis: 43.4
3902,KPNA5,Tissue enhanced,testis: 78.5
3903,KPNA7,Tissue enhanced,stomach: 3.1
3904,KPRP,Tissue enriched,skin: 267.5
3905,KRBOX1,Tissue enriched,testis: 289.2
3906,KREMEN2,Tissue enhanced,skin: 6.9
3907,KRT1,Tissue enriched,skin: 15454.7
3908,KRT10,Tissue enriched,skin: 18886.8
3909,KRT13,Tissue enriched,esophagus: 35138.5
3910,KRT14,Tissue enriched,skin: 7943.3
3911,KRT15,Group enriched,breast: 321.5;esophagus: 784.4;skin: 1010.3
3912,KRT16,Group enriched,esophagus: 477.8;tonsil: 102.4
3913,KRT17,Tissue enhanced,breast: 222.3;seminal vesicle: 226.0;urinary bladder: 322.8
3914,KRT2,Tissue enriched,skin: 2600.1
3915,KRT20,Tissue enhanced,colon: 356.1;duodenum: 252.4;rectum: 295.3;small intestine: 499.6
3916,KRT222,Tissue enhanced,cerebral cortex: 10.0;epididymis: 6.0
3917,KRT23,Tissue enhanced,placenta: 68.6;skin: 70.9
3918,KRT24,Tissue enhanced,epididymis: 20.3;esophagus: 28.4;tonsil: 67.0
3919,KRT25,Group enriched,breast: 3.6;testis: 1.6
3920,KRT26,Tissue enhanced,testis: 1.0
3921,KRT27,Tissue enhanced,breast: 1.3
3922,KRT28,Tissue enhanced,breast: 1.0
3923,KRT3,Group enriched,esophagus: 1.3;skin: 1.8
3924,KRT31,Group enriched,esophagus: 4.6;skin: 14.4
3925,KRT32,Group enriched,esophagus: 7.4;skin: 2.4
3926,KRT33A,Group enriched,esophagus: 1.4;testis: 1.6
3927,KRT34,Tissue enriched,"cervix, uterine: 4.2"
3928,KRT35,Tissue enriched,skin: 2.2
3929,KRT36,Tissue enhanced,skin: 2.1;tonsil: 1.5
3930,KRT37,Tissue enhanced,skin: 1.2
3931,KRT4,Tissue enriched,esophagus: 14861.9
3932,KRT5,Group enriched,esophagus: 3256.1;skin: 5996.8
3933,KRT6A,Tissue enriched,esophagus: 5703.6
3934,KRT6B,Tissue enriched,esophagus: 670.7
3935,KRT6C,Tissue enriched,esophagus: 525.3
3936,KRT7,Tissue enhanced,thyroid gland: 984.0
3937,KRT71,Group enriched,breast: 1.4;epididymis: 5.3
3938,KRT72,Tissue enriched,testis: 26.8
3939,KRT73,Group enriched,lymph node: 2.5;skin: 12.1
3940,KRT74,Tissue enriched,epididymis: 6.9
3941,KRT76,Tissue enriched,tonsil: 2.1
3942,KRT77,Tissue enriched,skin: 308.7
3943,KRT78,Tissue enriched,esophagus: 1055.1
3944,KRT79,Group enriched,breast: 4.0;skin: 17.1
3945,KRT8,Tissue enhanced,small intestine: 1475.5
3946,KRT80,Tissue enhanced,skin: 125.0
3947,KRT81,Tissue enhanced,breast: 3.8
3948,KRT83,Tissue enhanced,thyroid gland: 1.7
3949,KRT86,Tissue enhanced,thyroid gland: 6.9
3950,KRT9,Tissue enhanced,skin: 2.9
3951,KRTAP1-5,Tissue enriched,"cervix, uterine: 2.1"
3952,KRTAP13-2,Group enriched,colon: 1.9;rectum: 2.0
3953,KRTAP20-4,Tissue enriched,testis: 3.6
3954,KRTAP21-1,Group enriched,breast: 13.5;testis: 6.0
3955,KRTAP21-2,Group enriched,skin: 1.1;testis: 2.9
3956,KRTAP26-1,Tissue enriched,placenta: 1.9
3957,KRTAP3-2,Tissue enriched,esophagus: 3.3
3958,KRTAP5-10,Tissue enhanced,epididymis: 1.7
3959,KRTAP5-2,Tissue enhanced,cerebral cortex: 3.6
3960,KRTAP5-7,Tissue enhanced,testis: 1.8
3961,KRTAP5-8,Tissue enhanced,testis: 1.1
3962,KRTAP5-9,Tissue enhanced,testis: 2.6
3963,KRTDAP,Tissue enriched,skin: 4647.8
3964,KSR2,Tissue enhanced,cerebral cortex: 4.1
3965,KY,Tissue enhanced,skin: 11.0
3966,L1CAM,Tissue enhanced,adrenal gland: 36.0;cerebral cortex: 66.9
3967,L1TD1,Tissue enhanced,placenta: 16.6;testis: 11.0
3968,LA16c-312E8.5,Tissue enhanced,prostate: 2.6;stomach: 1.4
3969,LA16c-380H5.3,Tissue enriched,skin: 4.8
3970,LACE1,Tissue enhanced,testis: 17.3
3971,LACRT,Tissue enriched,salivary gland: 4.6
3972,LAD1,Tissue enhanced,esophagus: 291.7;skin: 236.6
3973,LAG3,Tissue enhanced,spleen: 32.0
3974,LAIR1,Tissue enhanced,lymph node: 7.1
3975,LAIR2,Tissue enhanced,lymph node: 1.4
3976,LALBA,Tissue enriched,breast: 2476.8
3977,LAMA1,Tissue enhanced,testis: 11.2
3978,LAMA2,Tissue enhanced,placenta: 150.0
3979,LAMA5,Tissue enhanced,skin: 42.1
3980,LAMB1,Tissue enhanced,placenta: 263.7
3981,LAMB4,Tissue enriched,skin: 46.5
3982,LAMC1,Tissue enhanced,placenta: 332.9
3983,LAMC2,Tissue enhanced,fallopian tube: 57.8
3984,LAMC3,Tissue enhanced,placenta: 88.7
3985,LAMP3,Tissue enriched,lung: 319.3
3986,LAMP5,Tissue enhanced,cerebral cortex: 44.9;ovary: 24.6
3987,LANCL2,Tissue enhanced,cerebral cortex: 41.2
3988,LARGE2,Tissue enhanced,placenta: 52.7
3989,LARP6,Tissue enhanced,cerebral cortex: 84.7
3990,LAT,Tissue enhanced,lymph node: 75.3
3991,LAT2,Tissue enhanced,lymph node: 70.0
3992,LAX1,Tissue enhanced,tonsil: 15.3
3993,LBP,Group enriched,adipose tissue: 69.3;liver: 264.7
3994,LBX1,Tissue enriched,skeletal muscle: 9.1
3995,LBX2,Tissue enhanced,duodenum: 5.3;small intestine: 5.3
3996,LCA5,Tissue enhanced,parathyroid gland: 48.1
3997,LCA5L,Tissue enriched,testis: 201.6
3998,LCE1A,Tissue enriched,skin: 507.5
3999,LCE1B,Tissue enriched,skin: 186.0
4000,LCE1C,Tissue enriched,skin: 514.5
4001,LCE1D,Tissue enriched,skin: 101.7
4002,LCE1E,Tissue enriched,skin: 74.0
4003,LCE1F,Tissue enriched,skin: 246.9
4004,LCE2A,Tissue enriched,skin: 146.6
4005,LCE2B,Tissue enriched,skin: 564.7
4006,LCE2C,Tissue enriched,skin: 283.4
4007,LCE2D,Tissue enriched,skin: 136.2
4008,LCE3A,Tissue enriched,tonsil: 99.1
4009,LCE3B,Tissue enriched,tonsil: 2.8
4010,LCE3C,Tissue enriched,tonsil: 22.5
4011,LCE3D,Tissue enhanced,skin: 26.5;tonsil: 79.8
4012,LCE3E,Group enriched,esophagus: 9.6;skin: 9.0;tonsil: 18.1
4013,LCE4A,Tissue enriched,skin: 5.1
4014,LCE5A,Tissue enriched,skin: 94.0
4015,LCE6A,Tissue enriched,skin: 303.8
4016,LCK,Tissue enhanced,lymph node: 125.9;tonsil: 72.4
4017,LCN1,Group enriched,fallopian tube: 3.1;seminal vesicle: 12.2
4018,LCN10,Tissue enriched,epididymis: 18.9
4019,LCN12,Tissue enriched,epididymis: 45.4
4020,LCN15,Tissue enhanced,duodenum: 12.1;seminal vesicle: 5.0;small intestine: 4.0
4021,LCN2,Tissue enhanced,bone marrow: 1852.1;gallbladder: 3419.4
4022,LCN6,Tissue enriched,epididymis: 1881.6
4023,LCN8,Tissue enriched,epididymis: 102.0
4024,LCN9,Tissue enhanced,epididymis: 1.1
4025,LCT,Group enriched,duodenum: 223.1;small intestine: 142.8
4026,LDB3,Group enriched,heart muscle: 568.8;skeletal muscle: 1039.8
4027,LDHAL6A,Tissue enriched,testis: 17.5
4028,LDHAL6B,Tissue enriched,testis: 76.5
4029,LDHC,Tissue enriched,testis: 472.9
4030,LDLRAD1,Tissue enriched,fallopian tube: 256.4
4031,LEAP2,Tissue enriched,liver: 66.1
4032,LECT2,Tissue enriched,liver: 230.9
4033,LEF1,Tissue enhanced,lymph node: 41.7
4034,LEFTY1,Tissue enhanced,colon: 58.4;pancreas: 20.4;rectum: 35.2
4035,LEFTY2,Group enriched,endometrium: 264.3;smooth muscle: 57.0
4036,LEKR1,Tissue enhanced,testis: 27.3
4037,LELP1,Tissue enriched,testis: 784.3
4038,LEMD1,Group enriched,epididymis: 18.1;testis: 71.4
4039,LENG1,Tissue enhanced,spleen: 1.8
4040,LEP,Tissue enriched,adipose tissue: 322.5
4041,LETM2,Tissue enriched,testis: 39.5
4042,LEXM,Group enriched,esophagus: 10.5;testis: 7.0
4043,LGALS12,Tissue enriched,adipose tissue: 89.9
4044,LGALS13,Tissue enriched,placenta: 16.6
4045,LGALS14,Tissue enriched,placenta: 69.0
4046,LGALS16,Tissue enriched,placenta: 7.7
4047,LGALS2,Tissue enhanced,gallbladder: 537.1;small intestine: 225.0
4048,LGALS4,Tissue enhanced,colon: 736.0;duodenum: 526.9;rectum: 640.3;small intestine: 493.5
4049,LGALS7,Group enriched,breast: 18.1;esophagus: 24.3;skin: 27.7
4050,LGALS7B,Tissue enhanced,breast: 10.4;esophagus: 19.3
4051,LGALS9B,Tissue enhanced,gallbladder: 11.7;rectum: 11.8;stomach: 28.8
4052,LGALS9C,Tissue enhanced,gallbladder: 4.9;rectum: 5.0;stomach: 10.0
4053,LGI1,Tissue enriched,cerebral cortex: 45.4
4054,LGI2,Tissue enriched,parathyroid gland: 371.4
4055,LGI3,Group enriched,cerebral cortex: 76.0;lung: 23.9;skin: 17.3;thyroid gland: 21.6
4056,LGR5,Tissue enhanced,fallopian tube: 26.6;placenta: 26.9
4057,LGR6,Tissue enhanced,fallopian tube: 14.3
4058,LGSN,Tissue enhanced,kidney: 2.8;liver: 2.4;placenta: 1.8
4059,LHB,Tissue enhanced,duodenum: 3.2;pancreas: 4.8;testis: 2.9
4060,LHCGR,Tissue enhanced,ovary: 1.6;testis: 4.3
4061,LHFPL1,Tissue enhanced,cerebral cortex: 1.8
4062,LHFPL3,Tissue enriched,cerebral cortex: 48.7
4063,LHFPL4,Tissue enriched,cerebral cortex: 23.1
4064,LHFPL5,Tissue enhanced,epididymis: 10.8
4065,LHX1,Tissue enriched,kidney: 1.3
4066,LHX2,Tissue enriched,cerebral cortex: 56.3
4067,LHX5,Tissue enhanced,cerebral cortex: 1.4
4068,LHX8,Tissue enhanced,placenta: 1.8;testis: 1.3;tonsil: 1.5
4069,LHX9,Tissue enhanced,ovary: 11.5;testis: 4.5
4070,LIF,Tissue enhanced,gallbladder: 75.6
4071,LILRA2,Tissue enhanced,bone marrow: 9.9;spleen: 7.0
4072,LILRA4,Tissue enhanced,spleen: 2.1;tonsil: 2.5
4073,LILRA5,Tissue enhanced,appendix: 13.9;bone marrow: 10.3;spleen: 7.5
4074,LILRA6,Tissue enhanced,adipose tissue: 1.9;appendix: 1.9;smooth muscle: 1.9;spleen: 1.9
4075,LILRB1,Tissue enhanced,appendix: 8.6;lymph node: 6.2;spleen: 9.9
4076,LILRB2,Tissue enhanced,appendix: 8.7;bone marrow: 20.5;spleen: 10.4
4077,LILRB3,Group enriched,adipose tissue: 5.4;appendix: 11.3;bone marrow: 9.9;lung: 9.2;spleen: 11.1;urinary bladder: 6.8
4078,LILRB4,Tissue enhanced,appendix: 14.6;lymph node: 13.4
4079,LILRB5,Tissue enhanced,spleen: 26.1
4080,LIMD2,Group enriched,appendix: 140.1;bone marrow: 71.2;lymph node: 255.5;spleen: 191.0;tonsil: 138.2
4081,LIME1,Tissue enhanced,liver: 19.6;stomach: 17.6
4082,LIMS3,Tissue enhanced,endometrium: 10.8;fallopian tube: 10.5
4083,LIN28A,Tissue enriched,testis: 4.3
4084,LIN28B,Tissue enriched,placenta: 93.5
4085,LINC00238,Tissue enriched,testis: 8.5
4086,LINC00521,Tissue enriched,testis: 11.9
4087,LINC00633,Tissue enriched,testis: 15.1
4088,LINC00672,Tissue enriched,cerebral cortex: 20.1
4089,LINC00675,Tissue enhanced,colon: 36.9;rectum: 40.8;stomach: 44.3
4090,LINC00694,Tissue enriched,testis: 28.4
4091,LINC00854,Tissue enriched,testis: 45.4
4092,LINC00890,Tissue enhanced,endometrium: 44.1;epididymis: 51.0;seminal vesicle: 107.2
4093,LINC00935,Tissue enriched,testis: 22.3
4094,LINC01125,Tissue enhanced,testis: 11.7
4095,LINC01207,Group enriched,"cervix, uterine: 4.4;colon: 6.3;duodenum: 10.5;gallbladder: 6.2;prostate: 9.0;rectum: 7.8;small intestine: 12.4"
4096,LINC01314,Tissue enhanced,cerebral cortex: 5.7;epididymis: 6.6
4097,LINC02210-CRHR1,Tissue enriched,cerebral cortex: 1.1
4098,LINGO1,Tissue enriched,cerebral cortex: 130.8
4099,LINGO2,Tissue enhanced,endometrium: 11.9;smooth muscle: 12.9
4100,LINGO3,Tissue enhanced,appendix: 1.6;cerebral cortex: 1.6;spleen: 3.7
4101,LINGO4,Tissue enhanced,adrenal gland: 2.2;skeletal muscle: 4.1
4102,LIPC,Tissue enriched,liver: 86.4
4103,LIPE,Tissue enriched,adipose tissue: 870.5
4104,LIPF,Tissue enriched,stomach: 22415.5
4105,LIPG,Group enriched,placenta: 214.4;thyroid gland: 403.2
4106,LIPH,Tissue enhanced,rectum: 40.8;stomach: 45.0
4107,LIPI,Tissue enriched,epididymis: 577.5
4108,LIPJ,Tissue enriched,testis: 12.3
4109,LIPK,Tissue enriched,skin: 37.4
4110,LIPM,Tissue enriched,skin: 51.4
4111,LIPN,Tissue enriched,skin: 39.8
4112,LIX1,Tissue enriched,cerebral cortex: 32.8
4113,LKAAEAR1,Tissue enhanced,testis: 2.7
4114,LL0XNC01-16G2.1,Tissue enhanced,cerebral cortex: 4.0
4115,LLGL1,Tissue enhanced,cerebral cortex: 21.1
4116,LLNLF-187D8.1,Tissue enriched,cerebral cortex: 23.3
4117,LLNLR-275H8.1,Tissue enriched,testis: 1.7
4118,LMAN1L,Tissue enhanced,prostate: 91.3;spleen: 31.7
4119,LMBR1L,Tissue enhanced,testis: 27.9
4120,LMLN,Tissue enhanced,testis: 18.6
4121,LMNB1,Tissue enhanced,lymph node: 41.4
4122,LMNTD1,Group enriched,fallopian tube: 27.1;testis: 26.6
4123,LMO1,Tissue enhanced,skeletal muscle: 10.1;skin: 5.9
4124,LMO3,Tissue enhanced,cerebral cortex: 190.9
4125,LMO7DN,Tissue enhanced,gallbladder: 1.3
4126,LMOD2,Group enriched,heart muscle: 506.5;skeletal muscle: 316.7
4127,LMOD3,Group enriched,heart muscle: 73.7;skeletal muscle: 162.2
4128,LMTK3,Group enriched,cerebral cortex: 20.3;parathyroid gland: 4.9
4129,LMX1A,Tissue enhanced,duodenum: 1.0;testis: 2.2
4130,LMX1B,Tissue enhanced,breast: 5.8;salivary gland: 11.2
4131,LNP1,Tissue enriched,testis: 47.9
4132,LONRF2,Tissue enhanced,epididymis: 55.6
4133,LOR,Tissue enriched,skin: 532.0
4134,LOXHD1,Group enriched,epididymis: 8.3;testis: 41.3
4135,LOXL2,Tissue enhanced,smooth muscle: 59.8
4136,LPA,Tissue enriched,liver: 41.5
4137,LPAR3,Tissue enhanced,fallopian tube: 66.9
4138,LPAR4,Tissue enhanced,ovary: 4.5
4139,LPCAT1,Tissue enhanced,lung: 19.0;spleen: 14.7
4140,LPCAT2,Tissue enhanced,thyroid gland: 142.6
4141,LPL,Tissue enhanced,adipose tissue: 976.8
4142,LPO,Tissue enriched,salivary gland: 372.8
4143,LRAT,Tissue enhanced,thyroid gland: 2.3
4144,LRCOL1,Tissue enriched,epididymis: 54.5
4145,LRFN1,Tissue enhanced,cerebral cortex: 5.5
4146,LRFN2,Tissue enriched,cerebral cortex: 6.8
4147,LRFN5,Tissue enhanced,parathyroid gland: 52.3
4148,LRG1,Tissue enriched,liver: 173.8
4149,LRGUK,Group enriched,epididymis: 1.7;fallopian tube: 5.4;testis: 8.4
4150,LRIG3,Tissue enhanced,thyroid gland: 97.8
4151,LRIT1,Tissue enriched,testis: 6.8
