,Gene,RNA tissue category,RNA TS TPM
7205,TMEM150C,Tissue enhanced,epididymis: 181.6
7206,TMEM151A,Tissue enriched,cerebral cortex: 45.2
7207,TMEM151B,Tissue enriched,cerebral cortex: 40.0
7208,TMEM154,Tissue enhanced,esophagus: 64.3;skin: 69.5
7209,TMEM155,Group enriched,cerebral cortex: 27.6;placenta: 5.7
7210,TMEM156,Group enriched,appendix: 11.8;lymph node: 27.8;spleen: 15.2;tonsil: 24.3;urinary bladder: 5.7
7211,TMEM158,Tissue enhanced,endometrium: 32.6;seminal vesicle: 32.1
7212,TMEM169,Tissue enhanced,cerebral cortex: 12.0
7213,TMEM170B,Tissue enhanced,cerebral cortex: 21.3
7214,TMEM171,Tissue enhanced,colon: 32.4;rectum: 32.3;thyroid gland: 47.1
7215,TMEM174,Tissue enriched,kidney: 159.4
7216,TMEM178A,Tissue enhanced,cerebral cortex: 55.4
7217,TMEM178B,Tissue enhanced,cerebral cortex: 19.3;parathyroid gland: 28.9;thyroid gland: 14.4
7218,TMEM179,Group enriched,adrenal gland: 14.6;cerebral cortex: 27.9
7219,TMEM182,Group enriched,heart muscle: 56.8;skeletal muscle: 44.4
7220,TMEM184A,Tissue enhanced,skin: 33.5
7221,TMEM184C,Group enriched,parathyroid gland: 253.9;thyroid gland: 53.2
7222,TMEM190,Tissue enriched,fallopian tube: 231.3
7223,TMEM191B,Tissue enriched,testis: 14.7
7224,TMEM191C,Tissue enriched,testis: 1.5
7225,TMEM196,Tissue enhanced,cerebral cortex: 9.2
7226,TMEM198,Tissue enhanced,cerebral cortex: 15.7
7227,TMEM200A,Tissue enhanced,endometrium: 65.1
7228,TMEM200B,Tissue enhanced,endometrium: 69.1
7229,TMEM200C,Tissue enhanced,adrenal gland: 3.1;cerebral cortex: 3.5
7230,TMEM202,Tissue enriched,testis: 23.0
7231,TMEM206,Tissue enhanced,cerebral cortex: 25.4
7232,TMEM207,Tissue enriched,kidney: 18.7
7233,TMEM210,Tissue enriched,testis: 10.1
7234,TMEM211,Tissue enhanced,"cervix, uterine: 3.7;stomach: 2.7"
